bioproject,acc,biosample,consent,releasedate,librarysource,libraryselection,librarylayout,platform,instrument,organism,mbases,avgspotlen,assay_type,group,sample
PRJNA1138246,SRR29904433,SAMN42686924,public,2025-07-15,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human feces metagenome,9991,301,WGS,SAMN42686924,SRR29904433
PRJNA1045596,SRR34540143,SAMN49972063,public,2025-07-15,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human gut metagenome,8651,215,WGS,SAMN49972063,SRR34540143
PRJNA1210004,SRR31985978,SAMN09656944,public,2025-05-03,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,5738,270,WGS,SAMN09656944,SRR31985978
PRJEB79944,ERR15003798,SAMEA118336000,public,2025-05-22,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9988,289,WGS,SAMEA118336000,ERR15003798
PRJNA1099775,SRR33424078,SAMN48325185,public,2025-05-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,2596,284,WGS,SAMN48325185,SRR33424078
PRJNA1140720,SRR33526628,SAMN48435448,public,2025-07-07,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9836,298,WGS,SAMN48435448,SRR33526628
PRJNA1268045,SRR33701236,SAMN48741962,public,2025-05-26,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9928,302,WGS,SAMN48741962,SRR33701236
PRJEB89837,ERR15009347,SAMEA118350928,public,2025-06-21,METAGENOMIC,unspecified,PAIRED,ILLUMINA,NextSeq 2000,human gut metagenome,6995,601,WGS,SAMEA118350928,ERR15009347
PRJNA1266263,SRR33660341,SAMN48672170,public,2025-05-21,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq X,human gut metagenome,8450,260,WGA,SAMN48672170,SRR33660341
PRJDB18384,DRR576708,SAMD00797967,public,2025-06-16,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9225,298,WGS,SAMD00797967,DRR576708
PRJEB83971,ERR14118117,SAMEA117571045,public,2025-06-13,METAGENOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,5285,297,WGS,SAMEA117571045,ERR14118117
PRJNA1287223,SRR34389142,SAMN49814633,public,2025-07-06,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X Plus,human gut metagenome,9927,277,WGS,SAMN49814633,SRR34389142
PRJNA1259758,SRR33524348,SAMN48372047,public,2025-06-06,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9997,300,WGS,SAMN48372047,SRR33524348
