bioproject,acc,biosample,consent,releasedate,librarysource,libraryselection,librarylayout,platform,instrument,organism,mbases,avgspotlen,assay_type,group,sample
PRJNA1274191,SRR33905896,SAMN48977872,public,2025-06-10,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina Genome Analyzer,human vaginal metagenome,3927,302,WGS,SAMN48977872,SRR33905896
PRJEB34536,ERR4421587,SAMEA7130471,public,2020-08-08,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human vaginal metagenome,2504,302,OTHER,SAMEA7130471,ERR4421587
PRJNA700071,SRR13740644,SAMN17964570,public,2022-01-17,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human urinary tract metagenome,3281,269,WGS,SAMN17964570,SRR13740644
PRJNA971360,SRR24561319,SAMN35029254,public,2023-05-17,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,HiSeq X Ten,human vaginal metagenome,8276,300,WGS,SAMN35029254,SRR24561319
PRJNA555623,SRR9719711,SAMN12324619,public,2019-08-28,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,human semen metagenome,1749,98,RNA-Seq,SAMN12324619,SRR9719711
PRJNA798061,SRR26038929,SAMN37358798,public,2024-01-29,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,7496,292,WGS,SAMN37358798,SRR26038929
PRJNA881266,SRR21604215,SAMN30889804,public,2022-10-03,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,4771,302,WGA,SAMN30889804,SRR21604215
PRJNA801448,SRR17798703,SAMN25349991,public,2022-08-25,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human urinary tract metagenome,9416,265,WGS,SAMN25349991,SRR17798703
PRJEB50547,ERR8289024,SAMEA12789646,public,2023-01-04,METATRANSCRIPTOMIC,Inverse rRNA,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,9261,198,RNA-Seq,SAMEA12789646,ERR8289024
PRJNA1133690,SRR29825826,SAMN42383840,public,2025-05-31,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,9835,302,WGS,SAMN42383840,SRR29825826
