sample,bioproject,group,biosample,acc,fastq_1,fastq_2,fna
SAMN40993838_SRR28721125_cf,prjna1101448,SRR28721125,SAMN40993838,SRR28721125,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721125/SAMN40993838_SRR28721125_cf/readdownload/SRR28721125_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721125/SAMN40993838_SRR28721125_cf/readdownload/SRR28721125_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721125/SAMN40993838_SRR28721125_cf/megahit/SAMN40993838_SRR28721125_cf.contigs.fa.gz
SAMN40993812_SRR28721190_cf,prjna1101448,SRR28721190,SAMN40993812,SRR28721190,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721190/SAMN40993812_SRR28721190_cf/readdownload/SRR28721190_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721190/SAMN40993812_SRR28721190_cf/readdownload/SRR28721190_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721190/SAMN40993812_SRR28721190_cf/megahit/SAMN40993812_SRR28721190_cf.contigs.fa.gz
SAMN40993787_SRR28721361_cf,prjna1101448,SRR28721361,SAMN40993787,SRR28721361,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721361/SAMN40993787_SRR28721361_cf/readdownload/SRR28721361_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721361/SAMN40993787_SRR28721361_cf/readdownload/SRR28721361_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721361/SAMN40993787_SRR28721361_cf/megahit/SAMN40993787_SRR28721361_cf.contigs.fa.gz
SAMN40993932_SRR28721164_cf,prjna1101448,SRR28721164,SAMN40993932,SRR28721164,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721164/SAMN40993932_SRR28721164_cf/readdownload/SRR28721164_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721164/SAMN40993932_SRR28721164_cf/readdownload/SRR28721164_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721164/SAMN40993932_SRR28721164_cf/megahit/SAMN40993932_SRR28721164_cf.contigs.fa.gz
SAMN40993711_SRR28721303_cf,prjna1101448,SRR28721303,SAMN40993711,SRR28721303,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721303/SAMN40993711_SRR28721303_cf/readdownload/SRR28721303_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721303/SAMN40993711_SRR28721303_cf/readdownload/SRR28721303_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721303/SAMN40993711_SRR28721303_cf/megahit/SAMN40993711_SRR28721303_cf.contigs.fa.gz
SAMN40993839_SRR28721123_cf,prjna1101448,SRR28721123,SAMN40993839,SRR28721123,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721123/SAMN40993839_SRR28721123_cf/readdownload/SRR28721123_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721123/SAMN40993839_SRR28721123_cf/readdownload/SRR28721123_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721123/SAMN40993839_SRR28721123_cf/megahit/SAMN40993839_SRR28721123_cf.contigs.fa.gz
SAMN40993848_SRR28721114_cf,prjna1101448,SRR28721114,SAMN40993848,SRR28721114,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721114/SAMN40993848_SRR28721114_cf/readdownload/SRR28721114_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721114/SAMN40993848_SRR28721114_cf/readdownload/SRR28721114_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721114/SAMN40993848_SRR28721114_cf/megahit/SAMN40993848_SRR28721114_cf.contigs.fa.gz
SAMN40993929_SRR28721167_cf,prjna1101448,SRR28721167,SAMN40993929,SRR28721167,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721167/SAMN40993929_SRR28721167_cf/readdownload/SRR28721167_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721167/SAMN40993929_SRR28721167_cf/readdownload/SRR28721167_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721167/SAMN40993929_SRR28721167_cf/megahit/SAMN40993929_SRR28721167_cf.contigs.fa.gz
SAMN40993797_SRR28721207_cf,prjna1101448,SRR28721207,SAMN40993797,SRR28721207,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721207/SAMN40993797_SRR28721207_cf/readdownload/SRR28721207_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721207/SAMN40993797_SRR28721207_cf/readdownload/SRR28721207_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721207/SAMN40993797_SRR28721207_cf/megahit/SAMN40993797_SRR28721207_cf.contigs.fa.gz
SAMN40993774_SRR28721375_cf,prjna1101448,SRR28721375,SAMN40993774,SRR28721375,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721375/SAMN40993774_SRR28721375_cf/readdownload/SRR28721375_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721375/SAMN40993774_SRR28721375_cf/readdownload/SRR28721375_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721375/SAMN40993774_SRR28721375_cf/megahit/SAMN40993774_SRR28721375_cf.contigs.fa.gz
SAMN40993666_SRR28721138_cf,prjna1101448,SRR28721138,SAMN40993666,SRR28721138,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721138/SAMN40993666_SRR28721138_cf/readdownload/SRR28721138_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721138/SAMN40993666_SRR28721138_cf/readdownload/SRR28721138_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721138/SAMN40993666_SRR28721138_cf/megahit/SAMN40993666_SRR28721138_cf.contigs.fa.gz
SAMN40993875_SRR28721228_cf,prjna1101448,SRR28721228,SAMN40993875,SRR28721228,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721228/SAMN40993875_SRR28721228_cf/readdownload/SRR28721228_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721228/SAMN40993875_SRR28721228_cf/readdownload/SRR28721228_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721228/SAMN40993875_SRR28721228_cf/megahit/SAMN40993875_SRR28721228_cf.contigs.fa.gz
SAMN40993863_SRR28721241_cf,prjna1101448,SRR28721241,SAMN40993863,SRR28721241,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721241/SAMN40993863_SRR28721241_cf/readdownload/SRR28721241_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721241/SAMN40993863_SRR28721241_cf/readdownload/SRR28721241_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721241/SAMN40993863_SRR28721241_cf/megahit/SAMN40993863_SRR28721241_cf.contigs.fa.gz
SAMN40993824_SRR28721177_cf,prjna1101448,SRR28721177,SAMN40993824,SRR28721177,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721177/SAMN40993824_SRR28721177_cf/readdownload/SRR28721177_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721177/SAMN40993824_SRR28721177_cf/readdownload/SRR28721177_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721177/SAMN40993824_SRR28721177_cf/megahit/SAMN40993824_SRR28721177_cf.contigs.fa.gz
SAMN40993847_SRR28721115_cf,prjna1101448,SRR28721115,SAMN40993847,SRR28721115,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721115/SAMN40993847_SRR28721115_cf/readdownload/SRR28721115_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721115/SAMN40993847_SRR28721115_cf/readdownload/SRR28721115_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721115/SAMN40993847_SRR28721115_cf/megahit/SAMN40993847_SRR28721115_cf.contigs.fa.gz
SAMN40993736_SRR28721274_cf,prjna1101448,SRR28721274,SAMN40993736,SRR28721274,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721274/SAMN40993736_SRR28721274_cf/readdownload/SRR28721274_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721274/SAMN40993736_SRR28721274_cf/readdownload/SRR28721274_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721274/SAMN40993736_SRR28721274_cf/megahit/SAMN40993736_SRR28721274_cf.contigs.fa.gz
